id,PositionTitle,Designation,Salary,Locations,VacancyType,EmploymentCategory,NumberOfVacancies,NumberOfApplicants,NumberOfSuccessfulApplicants,Remoteness,Region,Flexibility,Vacancy6MonthsOrLess,Department,ClassificationLevel,SalaryRange,ApplicantSuccessRate,Success
158598,Child Protection Practitioner,"PROFESSIONAL 1, PROFESSIONAL 2",88290,Alice Springs,Ongoing (Permanent) - Full Time,"Child Protection, Professional, Social Work, Community Services",1.0,9,0,Very Remote,Central Region,No,No,"Department of Territory Families, Housing and Communities",Entry,24000 - 88000,0.0,No
158599,Child Protection Practitioner,"PROFESSIONAL 1, PROFESSIONAL 2",88290,Alice Springs,Ongoing (Permanent) - Full Time,"Child Protection, Professional, Social Work, Community Services",7.0,14,6,Very Remote,Central Region,No,No,"Department of Territory Families, Housing and Communities",Entry,24000 - 88000,0.8571428571428571,Yes
158600,Child Protection Practitioner,"PROFESSIONAL 1, PROFESSIONAL 2",88290,Alice Springs,Ongoing (Permanent) - Full Time,"Child Protection, Professional, Social Work, Community Services",2.0,8,1,Very Remote,Central Region,No,No,"Department of Territory Families, Housing and Communities",Entry,24000 - 88000,0.5,Yes
158602,Child Protection Practitioner,"PROFESSIONAL 1, PROFESSIONAL 2",88290,Alice Springs,Ongoing (Permanent) - Full Time,"Child Protection, Professional, Social Work, Community Services",2.0,13,1,Very Remote,Central Region,No,No,"Department of Territory Families, Housing and Communities",Entry,24000 - 88000,0.5,Yes
158622,Business Manager,SENIOR ADMINISTRATIVE OFFICER 1,135933,Darwin,Ongoing (Permanent) - Full Time,Administration and Business Services,1.0,18,1,Outer Regional,Darwin Region,No,No,"Department of Infrastructure, Planning and Logistics",First Management,134000 - 384000,1.0,Yes
158956,Rural Medical Practitioner,"RURAL MEDICAL PRACTITIONER RL3.1-RL3.5, SNR RURAL MEDICAL PRACTITIONER RL4.1-4.4",248700,Wadeye-Port Keats,Fixed (Temporary) - Full Time,Medical,1.0,3,0,Remote,Top End Region,No,No,Department of Health,Entry,134000 - 384000,0.0,No
159159,Sentence Management Reception Officer,ADMINISTRATIVE OFFICER 4,79987,Palmerston,Ongoing (Permanent) - Full Time,"Administration and Business Services, Prison Services",1.0,50,1,Outer Regional,Darwin Region,No,No,Department of the Attorney-General and Justice,Entry,24000 - 88000,1.0,Yes
159662,Administrative Officer ,ADMINISTRATIVE OFFICER 3,68933,Darwin,Ongoing (Permanent) - Full Time,Administration and Business Services,1.0,84,1,Outer Regional,Darwin Region,No,No,Department of Health,Entry,24000 - 88000,1.0,Yes
159977,Clinical Quality and Safety Manager,"ADMINISTRATIVE OFFICER 7, NURSE LEVEL 6",135933,Alice Springs,Ongoing (Permanent) - Full Time,"Administration and Business Services, Nursing and Midwifery",1.0,2,1,Very Remote,Central Region,No,No,Department of Health,First Management,134000 - 384000,1.0,Yes
160142,Project Director - Land Servicing and Engineering,SENIOR ADMINISTRATIVE OFFICER 2,154922,Palmerston,Ongoing (Permanent) - Full Time,"Engineering, Executive and Senior Management, Program and Project Management",1.0,9,1,Outer Regional,Darwin Region,No,No,"Department of Infrastructure, Planning and Logistics",Middle Management,134000 - 384000,1.0,Yes
160164,Project Officer,ADMINISTRATIVE OFFICER 5,90492,Darwin,Fixed (Temporary) - Full Time,"Administration and Business Services, Communication, Media and Public Relations, Construction, Architecture and Design",1.0,19,1,Outer Regional,Darwin Region,No,No,"Department of Infrastructure, Planning and Logistics",Entry,88000 - 103000,1.0,Yes
160207,"Senior Pharmacist, Alcohol and Other Drugs",PROFESSIONAL 3,117313,Alice Springs,Fixed (Temporary) - Full Time,"Allied Health and Health Care Services, Professional",1.0,0,0,Very Remote,Central Region,No,No,Department of Health,Intermediate,103000 - 134000,0.0,No
160286,NTG Traineeship and Aboriginal Traineeship Program,"NTPS TRAINEESHIP AQF3 LEVEL A, NTPS TRAINEESHIP AQF3 LEVEL B, NTPS TRAINEESHIP AQF3 LEVEL C, NTPS TRAINEESHIP AQF4 LEVEL A, NTPS TRAINEESHIP AQF4 LEVEL B, NTPS TRAINEESHIP AQF4 LEVEL C, NTPS ADULT TRAINEESHIP AQF3 LEVEL A, NTPS ADULT TRAINEESHIP AQF3 LEVEL B, NTPS ADULT TRAINEESHIP AQF3 LEVEL C, NTPS ADULT TRAINEESHIP AQF4 LEVEL A, NTPS ADULT TRAINEESHIP AQF4 LEVEL B, NTPS ADULT TRAINEESHIP AQF4 LEVEL C, SCHOOL BASED TRAINEE, TRAINEE NON CLASSIFIED - RDO",36684,"Alice Springs, Darwin, Katherine, Palmerston, Tennant Creek, Nhulunbuy",Fixed (Temporary) - Full Time,"Traineeship, Cadetship and Graduate Programs",27.0,296,26,Outer Regional,Darwin Region,Yes,No,Department of Corporate and Digital Development,Entry,24000 - 88000,0.9629629629629629,Yes
160290,NTG Vacation and Aboriginal Vacation Employment,"ADMINISTRATIVE OFFICER 1, ADMINISTRATIVE OFFICER 2",62827,"Alice Springs, Darwin, Katherine, Palmerston",Fixed (Temporary) - Full Time,Vacation Employment,1.0,56,0,Outer Regional,Darwin Region,Yes,Yes,Department of Corporate and Digital Development,Entry,24000 - 88000,0.0,No
160292,NTG Vacation and Aboriginal Vacation Employment,"ADMINISTRATIVE OFFICER 1, ADMINISTRATIVE OFFICER 2",62827,"Alice Springs, Darwin, Katherine, Palmerston",Fixed (Temporary) - Full Time,Vacation Employment,17.0,110,16,Outer Regional,Darwin Region,Yes,Yes,Department of Corporate and Digital Development,Entry,24000 - 88000,0.9411764705882353,Yes
160416,NCC INFECTION PREVENT & MANGMT,NURSE LEVEL 5 RDO,132461,Alice Springs,Ongoing (Permanent) - Full Time,Nursing and Midwifery,1.0,0,0,Very Remote,Central Region,No,No,Department of Health,Entry,103000 - 134000,0.0,No
160455,Farm Manager,TECHNICAL 4,91927,Douglas Daly,Fixed (Temporary) - Full Time,"Agriculture, Animal and Horticulture, Primary Industry",1.0,21,0,Remote,Darwin Region,No,No,"Department of Industry, Tourism and Trade",First Management,88000 - 103000,0.0,No
160528,"Director of Nursing and Midwifery, Primary Health Care",NURSE LEVEL 7 RDO,162932,Alice Springs,Fixed (Temporary) - Full Time,Nursing and Midwifery,1.0,2,1,Very Remote,Central Region,No,No,Department of Health,Middle Management,134000 - 384000,1.0,Yes
160654,"Clinical Nurse Consultant, Alcohol and other Drugs and Volatile Substance Abuse Team Leader",NURSE LEVEL 5 RDO,132461,Alice Springs,Ongoing (Permanent) - Full Time,"Community Services, Nursing and Midwifery, Allied Health and Health Care Services",1.0,1,1,Very Remote,Central Region,No,No,Department of Health,First Management,103000 - 134000,1.0,Yes
160656,Aboriginal Health Practitioner,ATP3 (CLOSED FOR NORMAL USE),109710,Tennant Creek,Ongoing (Permanent) - Full Time,Nursing and Midwifery,1.0,0,0,Remote,Barkly Region,No,No,Department of Health,Entry,103000 - 134000,0.0,No
160709,Rural Medical Practitioner,RURAL MEDICAL PRACTITIONER RL3.1-RL3.5,248700,Alice Springs,Fixed (Temporary) - Full Time,"Community Services, Medical",2.0,8,1,Very Remote,Central Region,No,No,Department of Health,Entry,134000 - 384000,0.5,Yes
160843,Assistant Principal Early Childhood,SENIOR TEACHER 3,147568,Milingimbi,Ongoing (Permanent) - Full Time,"Education and Training, Administration and Business Services",1.0,5,0,Very Remote,East Arnhem Region,No,No,Department of Education,First Management,134000 - 384000,0.0,No
160860,Continuous Quality Improvement Facilitator,NURSE LEVEL 5 RDO,132461,Alice Springs,Ongoing (Permanent) - Full Time,"Human Resources and Work Health Safety, Nursing and Midwifery",1.0,3,0,Very Remote,Central Region,No,No,Department of Health,Entry,103000 - 134000,0.0,No
160899,Contract Audit and Investigations Officer,ADMINISTRATIVE OFFICER 7,118256,Palmerston,Ongoing (Permanent) - Full Time,"Administration and Business Services, Construction, Architecture and Design, Procurement, Grants and Contract Management",1.0,27,1,Outer Regional,Darwin Region,No,No,"Department of Infrastructure, Planning and Logistics",Entry,103000 - 134000,1.0,Yes
160925,Primary Health Care Nurse,NURSE LEVEL 4 RDO,122287,"Alcoota (Engawala), Ali Curung (Alekarenge), Canteen Ck-Orwatjlla, Docker Rvr-Kaltukarj, Elliott, Epenarra-Wutunurrgur, Finke (Aputula), Haasts Bluff-Ikuntji, Harts Range-Atitjere, Hermannsburg/Ntaria, Imanpa (Mt Ebenezer), Lk Nash-Alpurrurulam, Maryvale (Titjikala), Mt Allen (Yuelamu), Mt Liebig-Amunturrng, Napperby (Laramba), Nyirrpi-Waite Creek, Papunya, Ti Tree, Willowra-Wirilyatjar, Yuendumu, Yulara, Watarrka",Ongoing (Permanent) - Full Time,Nursing and Midwifery,3.0,6,2,Remote,Barkly Region,Yes,No,Department of Health,Entry,103000 - 134000,0.6666666666666666,Yes
160960,Patient Travel Clerk,ADMINISTRATIVE OFFICER 3,68933,Nhulunbuy,Ongoing (Permanent) - Full Time,Administration and Business Services,1.0,20,1,Remote,East Arnhem Region,No,No,Department of Health,Entry,24000 - 88000,1.0,Yes
161020,Administration Officer Top End West,ADMINISTRATIVE OFFICER 3,68933,Darwin,Ongoing (Permanent) - Full Time,Administration and Business Services,1.0,59,0,Outer Regional,Darwin Region,No,No,Department of Health,Entry,24000 - 88000,0.0,No
161060,Clinical Nurse Specialist,NURSE LEVEL 3 RDO,109710,Tennant Creek,Ongoing (Permanent) - Full Time,"Allied Health and Health Care Services, Professional",1.0,1,1,Remote,Barkly Region,No,No,Department of Health,Intermediate,103000 - 134000,1.0,Yes
161063,Senior WorkSafe Inspector,ADMINISTRATIVE OFFICER 6,102135,Darwin,Ongoing (Permanent) - Full Time,"Human Resources and Work Health Safety, Administration and Business Services",3.0,59,2,Outer Regional,Darwin Region,No,No,Department of the Attorney-General and Justice,Intermediate,88000 - 103000,0.6666666666666666,Yes
161091,Graphic Design and Multimedia Officer,ADMINISTRATIVE OFFICER 5,90492,Darwin,Ongoing (Permanent) - Full Time,"Communication, Media and Public Relations",1.0,24,1,Outer Regional,Darwin Region,No,No,Department of Education,Entry,88000 - 103000,1.0,Yes
161123,Principal,EXECUTIVE CONTRACT PRINCIPAL LEVEL 2,201447,Palmerston,Fixed (Temporary) - Full Time,"Education and Training, Administration and Business Services, Executive and Senior Management",1.0,15,1,Outer Regional,Darwin Region,No,No,Department of Education,First Management,134000 - 384000,1.0,Yes
161165,Medical Records and Primary Care Information System Audit,ADMINISTRATIVE OFFICER 4,79987,Alice Springs,Fixed (Temporary) - Part Time,"Administration and Business Services, Information and Records Management",1.0,11,1,Very Remote,Central Region,No,Yes,Department of Health,Entry,24000 - 88000,1.0,Yes
161192,"Director of Contracts, Procurement and Stores",SENIOR ADMINISTRATIVE OFFICER 1,135933,Alice Springs,Ongoing (Permanent) - Full Time,"Accounting and Finance, Procurement, Grants and Contract Management, Administration and Business Services",1.0,6,1,Very Remote,Central Region,No,No,Department of Health,Middle Management,134000 - 384000,1.0,Yes
161223,Aboriginal and Torres Strait Islander Health Pracitioner,ATP6 (CLOSED FOR NORMAL USE),136037,Darwin,Fixed (Temporary) - Full Time,Allied Health and Health Care Services,1.0,1,0,Outer Regional,Darwin Region,No,No,Department of Health,Entry,134000 - 384000,0.0,No
161323,Server Engineer,TGEN BAND 3 ADMIN CORPORATE SERVICES,127934,Darwin,Fixed (Temporary) - Full Time,Information and Communication Technology (ICT),1.0,25,1,Outer Regional,Darwin Region,No,No,Department of Treasury and Finance,Entry,103000 - 134000,1.0,Yes
161327,MRI Senior Radiographer,PROFESSIONAL 3,117313,Alice Springs,Ongoing (Permanent) - Full Time,Allied Health and Health Care Services,1.0,3,1,Very Remote,Central Region,No,No,Department of Health,Intermediate,103000 - 134000,1.0,Yes
161328,"Nursing Coordinator, Recruitment ",NURSE LEVEL 5 RDO,132461,Alice Springs,Ongoing (Permanent) - Full Time,"Administration and Business Services, Human Resources and Work Health Safety, Nursing and Midwifery",1.0,3,1,Very Remote,Central Region,No,No,Department of Health,Intermediate,103000 - 134000,1.0,Yes
161334,Engineering Services Manager,TECHNICAL 5 - RDO,103447,Nhulunbuy,Ongoing (Permanent) - Full Time,"Engineering, Trades, Maintenance and Services",1.0,7,0,Remote,East Arnhem Region,No,No,Department of Health,First Management,88000 - 103000,0.0,No
161362,Senior Communications Consultant,ADMINISTRATIVE OFFICER 6,102135,Darwin,Fixed (Temporary) - Full Time,"Communication, Media and Public Relations",1.0,13,1,Outer Regional,Darwin Region,No,No,Department of Education,Intermediate,88000 - 103000,1.0,Yes
161386,Emergency Department Medical Officers,"HOSPITAL MEDICAL OFFICER HMO1-HMO7, REGISTRAR REG1-REG6, RURAL GENERALIST TRAINEE RGT1-RGT3, INTERN/RESIDENT MO1-MO3, RURAL REGISTRAR RL1.1-RL1.3, SENIOR HOSPITAL MEDICAL OFFICER SHMO1-2, SENIOR REGISTRAR SREG1-SREG2, SENIOR RESIDENT MEDICAL OFFICER MO4-MO5",139352,Katherine,Fixed (Temporary) - Full Time,Medical,1.0,83,0,Remote,Big Rivers Region,No,No,Department of Health,Entry,134000 - 384000,0.0,No
161410,Records Manager Top End Mental Health Service ,ADMINISTRATIVE OFFICER 3,68933,Darwin,Ongoing (Permanent) - Full Time,"Administration and Business Services, Information and Records Management",1.0,30,1,Outer Regional,Darwin Region,No,No,Department of Health,First Management,24000 - 88000,1.0,Yes
161433,Regional Engagement Lead ,ADMINISTRATIVE OFFICER 7,118256,Katherine,Fixed (Temporary) - Full Time,"Communication, Media and Public Relations, Administration and Business Services",1.0,2,0,Remote,Big Rivers Region,No,Yes,Department of Corporate and Digital Development,Entry,103000 - 134000,0.0,No
161472,Clinical Nurse - Education,NURSE LEVEL 3,109710,Alice Springs,Ongoing (Permanent) - Full Time,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",1.0,3,1,Very Remote,Central Region,No,No,Department of Health,Entry,103000 - 134000,1.0,Yes
161489,Oral Health Promotion Planning and Evaluation Officer,PROFESSIONAL 2,98618,"Darwin, Palmerston",Ongoing (Permanent) - Full Time,"Allied Health and Health Care Services, Administration and Business Services, Medical, Professional",1.0,10,1,Outer Regional,Darwin Region,Yes,No,Department of Health,Entry,88000 - 103000,1.0,Yes
161493,Dental Laboratory Manager,TECHNICAL 4,91927,Alice Springs,Ongoing (Permanent) - Full Time,"Allied Health and Health Care Services, Administration and Business Services",1.0,0,0,Very Remote,Central Region,No,No,Department of Health,First Management,88000 - 103000,0.0,No
161503,Aboriginal Sexual Assault Worker,ADMINISTRATIVE OFFICER 5,90492,Darwin,Ongoing (Permanent) - Full Time,Administration and Business Services,1.0,15,1,Outer Regional,Darwin Region,No,No,Department of Health,Entry,88000 - 103000,1.0,Yes
161505,Housekeeper,PHYSICAL 2 - RDO,59613,Nhulunbuy,Ongoing (Permanent) - Full Time,Housekeeping Services,2.0,14,2,Remote,East Arnhem Region,No,No,Department of Health,Entry,24000 - 88000,1.0,Yes
161508,Administration Manager,ADMINISTRATIVE OFFICER 6,102135,Darwin,Ongoing (Permanent) - Full Time,"Administration and Business Services, Allied Health and Health Care Services",1.0,26,1,Outer Regional,Darwin Region,No,No,Department of Health,First Management,88000 - 103000,1.0,Yes
161526,ICT Project Manager,TGEN BAND 3 ADMIN CORPORATE SERVICES,127934,Darwin,Fixed (Temporary) - Full Time,"Information and Communication Technology (ICT), Program and Project Management",1.0,17,1,Outer Regional,Darwin Region,No,Yes,Department of Treasury and Finance,First Management,103000 - 134000,1.0,Yes
161552,Senior Project Officer,ADMINISTRATIVE OFFICER 7,118256,Darwin,Ongoing (Permanent) - Full Time,"Program and Project Management, Administration and Business Services",1.0,15,1,Outer Regional,Darwin Region,No,No,"Department of Infrastructure, Planning and Logistics",Intermediate,103000 - 134000,1.0,Yes
161559,Senior Business Intelligence Analyst / Developer,ADMINISTRATIVE OFFICER 7,118256,Darwin,Fixed (Temporary) - Full Time,Administration and Business Services,1.0,6,0,Outer Regional,Darwin Region,No,Yes,Department of Health,Intermediate,103000 - 134000,0.0,No
161675,Technical Officer,TECHNICAL 4,91927,Darwin,Ongoing (Permanent) - Full Time,"Information and Communication Technology (ICT), Police, Fire and Emergency Workers",1.0,5,0,Outer Regional,Darwin Region,No,No,"NT Police, Fire and Emergency Services",Entry,88000 - 103000,0.0,No
161710,Continuous Quality Improvement Facilitator,NURSE LEVEL 5,132461,Alice Springs,Fixed (Temporary) - Full Time,"Human Resources and Work Health Safety, Nursing and Midwifery",1.0,4,1,Very Remote,Central Region,No,Yes,Department of Health,Entry,103000 - 134000,1.0,Yes
161711,Nurse Education Specialist,NURSE LEVEL 4 RDO,122287,Nhulunbuy,Fixed (Temporary) - Full Time,"Education and Training, Nursing and Midwifery, Allied Health and Health Care Services, Medical",1.0,3,1,Remote,East Arnhem Region,No,Yes,Department of Health,Intermediate,103000 - 134000,1.0,Yes
161728,Primary Health Care Nurse,NURSE LEVEL 4 RDO,122287,Napperby (Laramba),Ongoing (Permanent) - Full Time,"Nursing and Midwifery, Administration and Business Services",1.0,0,0,Very Remote,Central Region,No,No,Department of Health,Entry,103000 - 134000,0.0,No
161734,Dental Therapist,PROFESSIONAL 2,98618,Katherine,Ongoing (Permanent) - Full Time,"Allied Health and Health Care Services, Professional",1.0,2,1,Remote,Big Rivers Region,No,No,Department of Health,Entry,88000 - 103000,1.0,Yes
161739,Recruitment Officer,ADMINISTRATIVE OFFICER 4,79987,Darwin,Ongoing (Permanent) - Full Time,"Administration and Business Services, Human Resources and Work Health Safety",1.0,28,1,Outer Regional,Darwin Region,No,No,Department of Health,Entry,24000 - 88000,1.0,Yes
161740,Team Leader,ADMINISTRATIVE OFFICER 7,118256,Katherine,Ongoing (Permanent) - Full Time,Probation and Parole Officer,1.0,8,1,Remote,Big Rivers Region,No,No,Department of the Attorney-General and Justice,First Management,103000 - 134000,1.0,Yes
161751,Land Information Officer,ADMINISTRATIVE OFFICER 5,90492,Darwin,Fixed (Temporary) - Full Time,Administration and Business Services,1.0,14,0,Outer Regional,Darwin Region,No,No,"Department of Infrastructure, Planning and Logistics",Entry,88000 - 103000,0.0,No
161763,Senior Human Resources Project Officer,TGEN BAND 3 ADMIN CORPORATE SERVICES,127934,Darwin,Fixed (Temporary) - Full Time,"Human Resources and Work Health Safety, Administration and Business Services",1.0,9,0,Outer Regional,Darwin Region,No,Yes,Department of Treasury and Finance,Intermediate,103000 - 134000,0.0,No
161764,Clinical Educator Computed Tomography,SENIOR PROFESSIONAL OFFICER 1,135933,"Darwin, Palmerston",Fixed (Temporary) - Full Time,Professional,1.0,4,1,Outer Regional,Darwin Region,Yes,No,Department of Health,Entry,134000 - 384000,1.0,Yes
161767,Ultrasound Clinical Educator,SENIOR PROFESSIONAL OFFICER 1,135933,"Darwin, Palmerston",Fixed (Temporary) - Full Time,"Professional, Allied Health and Health Care Services, Medical",1.0,0,0,Outer Regional,Darwin Region,Yes,No,Department of Health,Entry,134000 - 384000,0.0,No
161791,Indigenous Employment Provisional Sum Audit and Investigation Officer,ADMINISTRATIVE OFFICER 7,118256,Palmerston,Fixed (Temporary) - Full Time,"Accounting and Finance, Administration and Business Services",1.0,8,1,Outer Regional,Darwin Region,No,No,"Department of Infrastructure, Planning and Logistics",Entry,103000 - 134000,1.0,Yes
161797,Kiosk Food Service Assistant,PHYSICAL 2 - RDO,59613,"Darwin, Palmerston",Ongoing (Permanent) - Full Time,"Hospitality and Food Services, Allied Health and Health Care Services",1.0,91,1,Outer Regional,Darwin Region,Yes,No,Department of Health,Entry,24000 - 88000,1.0,Yes
161798,Clinical Nurse Specialist,NURSE LEVEL 4 RDO,122287,Alice Springs,Fixed (Temporary) - Full Time,Nursing and Midwifery,1.0,1,0,Very Remote,Central Region,No,No,Department of Health,Intermediate,103000 - 134000,0.0,No
161810,Hearing Health Outreach Services Coordinator,ADMINISTRATIVE OFFICER 5,90492,Darwin,Fixed (Temporary) - Full Time,Administration and Business Services,1.0,9,1,Outer Regional,Darwin Region,No,No,Department of Health,Intermediate,88000 - 103000,1.0,Yes
161825,"Program Leader, Wildstock Fisheries",SENIOR ADMINISTRATIVE OFFICER 1,135933,Darwin,Ongoing (Permanent) - Full Time,"Administration and Business Services, Environment, Natural Resources and Conservation, Executive and Senior Management, Primary Industry",1.0,8,1,Outer Regional,Darwin Region,No,No,"Department of Industry, Tourism and Trade",Entry,134000 - 384000,1.0,Yes
161863,Emergency Department Administration Clerk,ADMINISTRATIVE OFFICER 3,68933,Darwin,Ongoing (Permanent) - Full Time,Administration and Business Services,1.0,83,1,Outer Regional,Darwin Region,No,No,Department of Health,Entry,24000 - 88000,1.0,Yes
161886,Administrative Officer,ADMINISTRATIVE OFFICER 3,68933,Darwin,Ongoing (Permanent) - Full Time,Administration and Business Services,1.0,55,1,Outer Regional,Darwin Region,No,No,"NT Police, Fire and Emergency Services",Entry,24000 - 88000,1.0,Yes
161893,ICT Service Delivery and Security Officer,ADMINISTRATIVE OFFICER 4,79987,Darwin,Ongoing (Permanent) - Full Time,"Information and Communication Technology (ICT), Administration and Business Services",1.0,22,0,Outer Regional,Darwin Region,No,No,Department of Corporate and Digital Development,Entry,24000 - 88000,0.0,No
161912,Medical Registrar - Rehabilitation ,REGISTRAR REG1-REG6,133400,"Darwin, Palmerston",Fixed (Temporary) - Full Time,Medical,1.0,23,0,Outer Regional,Darwin Region,Yes,No,Department of Health,Entry,103000 - 134000,0.0,No
161913,Regional Electrical Engineer - North,TGEN BAND 3 PROFESSIONAL,127934,Darwin,Ongoing (Permanent) - Full Time,"Engineering, Science, Trades, Maintenance and Services",1.0,9,1,Outer Regional,Darwin Region,No,No,Department of Treasury and Finance,Entry,103000 - 134000,1.0,Yes
161916,Housekeeping Supervisor,PHYSICAL 5 - RDO,74724,"Darwin, Palmerston",Ongoing (Permanent) - Part Time,Housekeeping Services,1.0,18,1,Outer Regional,Darwin Region,Yes,No,Department of Health,First Management,24000 - 88000,1.0,Yes
161926,Senior Sonographer,PROFESSIONAL 3,117313,Darwin,Ongoing (Permanent) - Full Time,"Professional, Allied Health and Health Care Services, Medical",2.0,4,2,Outer Regional,Darwin Region,No,No,Department of Health,Intermediate,103000 - 134000,1.0,Yes
161959,Information Technology and Administration Support Officer,ADMINISTRATIVE OFFICER 3,68933,Katherine,Fixed (Temporary) - Full Time,"Administration and Business Services, Information and Communication Technology (ICT)",1.0,14,1,Remote,Big Rivers Region,No,No,Department of Education,Entry,24000 - 88000,1.0,Yes
161960,Assistant Children's Commissioner,SENIOR ADMINISTRATIVE OFFICER 2,154922,Darwin,Ongoing (Permanent) - Full Time,Executive and Senior Management,1.0,18,1,Outer Regional,Darwin Region,No,No,Department of the Attorney-General and Justice,Entry,134000 - 384000,1.0,Yes
161973,Work Health and Safety Advisor – South ,TGEN BAND 3 ADMIN CORPORATE SERVICES,127934,Alice Springs,Ongoing (Permanent) - Full Time,"Human Resources and Work Health Safety, Administration and Business Services",1.0,15,1,Very Remote,Central Region,No,No,Department of Treasury and Finance,Entry,103000 - 134000,1.0,Yes
161980,Site Supervisor Community Work ,TECHNICAL 5,103447,Katherine,Ongoing (Permanent) - Full Time,"Community Services, Trades, Maintenance and Services",1.0,7,1,Remote,Big Rivers Region,No,No,Department of the Attorney-General and Justice,First Management,88000 - 103000,1.0,Yes
161996,Information and Communication Technology Contracts and Procurement Officer,ADMINISTRATIVE OFFICER 4,79987,Darwin,Ongoing (Permanent) - Full Time,"Administration and Business Services, Information and Communication Technology (ICT)",1.0,24,0,Outer Regional,Darwin Region,No,No,Department of Corporate and Digital Development,Entry,24000 - 88000,0.0,No
162019,Recording and Production Manager,ADMINISTRATIVE OFFICER 7,118256,Darwin,Ongoing (Permanent) - Full Time,Administration and Business Services,1.0,3,1,Outer Regional,Darwin Region,No,No,"Department of Territory Families, Housing and Communities",First Management,103000 - 134000,1.0,Yes
162023,Case Support Worker,ADMINISTRATIVE OFFICER 3,68933,Alice Springs,Ongoing (Permanent) - Full Time,"Administration and Business Services, Child Protection, Social Work",1.0,14,1,Very Remote,Central Region,No,No,"Department of Territory Families, Housing and Communities",Entry,24000 - 88000,1.0,Yes
162024,Medical Education Registrar,REGISTRAR REG1-REG6,133400,"Darwin, Palmerston",Fixed (Temporary) - Full Time,Medical,1.0,2,0,Outer Regional,Darwin Region,Yes,No,Department of Health,Entry,103000 - 134000,0.0,No
